,movieId,title,genres
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,2,Jumanji (1995),Adventure|Children|Fantasy
2,3,Grumpier Old Men (1995),Comedy|Romance
4,5,Father of the Bride Part II (1995),Comedy
5,6,Heat (1995),Action|Crime|Thriller
6,7,Sabrina (1995),Comedy|Romance
9,10,GoldenEye (1995),Action|Adventure|Thriller
10,11,"American President, The (1995)",Comedy|Drama|Romance
13,14,Nixon (1995),Drama
15,16,Casino (1995),Crime|Drama
16,17,Sense and Sensibility (1995),Drama|Romance
17,18,Four Rooms (1995),Comedy
18,19,Ace Ventura: When Nature Calls (1995),Comedy
20,21,Get Shorty (1995),Comedy|Crime|Thriller
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,24,Powder (1995),Drama|Sci-Fi
24,25,Leaving Las Vegas (1995),Drama|Romance
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,31,Dangerous Minds (1995),Drama
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
33,34,Babe (1995),Children|Drama
35,36,Dead Man Walking (1995),Crime|Drama
38,39,Clueless (1995),Comedy|Romance
43,44,Mortal Kombat (1995),Action|Adventure|Fantasy
44,45,To Die For (1995),Comedy|Drama|Thriller
46,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
47,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
49,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
51,52,Mighty Aphrodite (1995),Comedy|Drama|Romance
57,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
59,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
61,62,Mr. Holland's Opus (1995),Drama
69,70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
78,79,"Juror, The (1996)",Drama|Thriller
93,95,Broken Arrow (1996),Action|Adventure|Thriller
102,104,Happy Gilmore (1996),Comedy
103,105,"Bridges of Madison County, The (1995)",Drama|Romance
105,107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
108,110,Braveheart (1995),Action|Drama|War
109,111,Taxi Driver (1976),Crime|Drama|Thriller
110,112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
133,135,Down Periscope (1996),Comedy
139,141,"Birdcage, The (1996)",Comedy
143,145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
148,150,Apollo 13 (1995),Adventure|Drama|IMAX
149,151,Rob Roy (1995),Action|Drama|Romance|War
151,153,Batman Forever (1995),Action|Adventure|Comedy|Crime
156,158,Casper (1995),Adventure|Children
158,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
159,161,Crimson Tide (1995),Drama|Thriller|War
160,162,Crumb (1994),Documentary
161,163,Desperado (1995),Action|Romance|Western
163,165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
166,168,First Knight (1995),Action|Drama|Romance
168,170,Hackers (1995),Action|Adventure|Crime|Thriller
170,172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
171,173,Judge Dredd (1995),Action|Crime|Sci-Fi
178,180,Mallrats (1995),Comedy|Romance
183,185,"Net, The (1995)",Action|Crime|Thriller
184,186,Nine Months (1995),Comedy|Romance
191,193,Showgirls (1995),Drama
192,194,Smoke (1995),Comedy|Drama
194,196,Species (1995),Horror|Sci-Fi
196,198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
201,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
202,204,Under Siege 2: Dark Territory (1995),Action
205,207,"Walk in the Clouds, A (1995)",Drama|Romance
206,208,Waterworld (1995),Action|Adventure|Sci-Fi
213,215,Before Sunrise (1995),Drama|Romance
214,216,Billy Madison (1995),Comedy
